function_name,param_names,param_types,is_optional,return_type,documentation_length
tf.scan,"['fn', 'elems', 'initializer', 'parallel_iterations', 'back_prop', 'swap_memory', 'infer_shape', 'reverse', 'name']","['initializer', 'tensor', 'tensor', 'iterations', 'deprecated', 'gpucpu', 'disables', 'tensor', 'tensor']","[False, False, True, True, True, True, True, True, True]",tensor,1194
tf.unravel_index,"['indices', 'dims', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",tensor,354
tf.histogram_fixed_width_bins,"['values', 'value_range', 'nbins', 'dtype', 'name']","['tensor', 'tensor', 'bins', 'dtype', 'defaults']","[False, False, False, False, False]",tensor,391
tf.random_uniform_initializer,"['minval', 'maxval', 'seed']","['tensor', 'tensor', 'behavior']","[False, False, False]",initializer,442
tf.clip_by_value,"['t', 'clip_value_min', 'clip_value_max', 'name']","['tensor', 'tensor', 'tensor', 'name']","[False, False, False, True]",tensor,697
tf.strided_slice,"['input_', 'begin', 'end', 'strides', 'begin_mask', 'end_mask', 'ellipsis_mask', 'new_axis_mask', 'shrink_axis_mask', 'var', 'name']","['tensor', 'int32', 'int32', 'int32', 'int32', 'int32', 'int32', 'int32', 'int32', 'input_', 'name']","[False, False, False, False, False, False, False, False, False, False, True]",tensor,998
tf.argsort,"['values', 'axis', 'direction', 'stable', 'name']","['tensor', 'axis', 'or', 'tensor', 'name']","[False, False, False, False, True]",tensor,622
tf.get_logger,[],[],[],instance,263
tf.truncatediv,"['x', 'y', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",tensor,272
tf.vectorized_map,"['fn', 'elems', 'fallback_to_while_loop', 'warn']","['elems', 'tensor', 'fn', 'false']","[False, False, False, False]",tensor,965
tf.fftnd,"['input', 'fft_length', 'axes', 'name']","['tensor', 'tensor', 'tensor', 'name']","[False, False, False, True]",tensor,274
tf.conv,"['input', 'filter', 'strides', 'padding', 'explicit_paddings', 'data_format', 'dilations', 'batch_dims', 'groups', 'name']","['tensor', 'tensor', 'tensor', 'string', 'ints', 'string', 'tensor', 'tensor', 'int', 'name']","[False, False, False, False, True, True, True, True, True, True]",tensor,846
tf.is_tensor,['x'],['object'],[False],true,249
